pid,asr_text,asr_language,asr_char_count
POST00003464,"It's always interesting to watch a lifestyle that's a whole lot different than yours. And the algorithm takes note of that. It doesn't care about your mental health. It only cares about watch time. And because we seem so interested in these videos, it's throwing it out to more and more people. The problem is, we come across so many of these videos on our feeds that our brains start to think that this is what healthy living actually looks like. Repeated exposure reinforces our brains to think that's the norm. It may seem like this is how everybody's living. But in reality, it's just not. It's the algorithm pushing...",en,623
POST00003840,"Hi guys, it's Kail. Come with me to work as a clinical dietician. So my day starts at 8 a.m. And then first thing to do is to check all yesterday's admissions and sort them for screening and for nutrition assessment. After war, I am ready to do the rounds. So for the alay, Laka Jud always is clinical. So mostly, my start should go to the highest floor and then externally. Now I'll measure the lift.",tl,401
POST00000738,they,en,4
POST00002819,"All right guys, here's a typical day in my life. So this is me all glammed up last week. We're filming so much content in advance because I am moving. But most days I am not full glam. I'm in comfy clothes. I first always start off with coffee and then I walk my dog. Sometimes I get coffee out. That's Coda and Hugo's in the back there who's black. Because this was a Monday, I had a lot on my schedule. So I had to make a really quick breakfast. I did not even have time for eggs. So overnight oats, but me in the morning, is my favorite thing ever. And then I hopped on one and a half hour meeting with these oats where we talked about",en,638
POST00001709,"Let's finally talk about natural flavors. What are they? Should we avoid them? Why is everybody talking about it? Let's get into it. So the government defines natural flavors as those that derive their aroma or flavor chemicals from plant or animal sources. This makes them different from artificial flavorings, which are man-made chemicals. The problem with natural flavors comes when the product or the natural flavors aren't organic, because the regulations don't restrict the dozens of other ingredients like preservatives and solvents that can go into the so-called natural flavors. There really doesn't seem to be much of a difference between natural flavors and artificial flavors. It's important to note that food...",en,724
POST00000426,"So I'm going to jump on this trend on the five things that I would never do as a prenatal diatestine with a PhD in nutrition. So number one, I would never eat food that's been sitting out for longer than an hour, like at a barbecue or a party, maybe even less than an hour. Number two, I would never buy my supplements on Amazon. There's tons of stories of counterfeit products. The FDA even found drugs in like over 50 products on Amazon and eBay, even ones that say Amazon bestseller. Three, I would never deny screening tests for gestational diabetes and group B strap or the vitamin K shot at birth.",en,603
POST00001328,"Okay, so I'm going into the office all day tomorrow and when I say all day I mean like eight to four which that probably sounds funny to some of you who go into the office for every day But like I don't usually have to go into the office all day because I usually go in to do programming or teach cooking classes etc So I'm going to show you high pack for an entire day as a registered Ditation I'm gonna go to hot yoga in the morning from 5 30 to 6 30 and then just shower at the gym I have a speaking engagement downtown Denver So I'm just gonna go straight from the gym to downtown So I'm gonna bring a ripple",en,612
POST00001340,"Welcome to part five of my Brain Healthy Series on the Mind Diet. Today's featured food, beans. The Mind Diet recommends four half-cup servings of beans every week. Doable? I think so. Black beans, kidney beans, cannellini beans, chickpeas, kidney beans. They all provide fiber, protein, and B vitamins, which are essential fuel for your brain. Beans are a regular part of my diet. Now, personally,",en,398
POST00000846,"As a venduater, I died to shouldn't work on her shit. Here's what I got a couple cookie bucks and didn't eat the whole thing in one day. So my partner would set me getting six used by myself and be like, let me eat these in the car and then I don't have to share it by eating them all before I get home. Turning something that you might feel shame about into a positive thing, game changer. And instead we went together, made it like a little adventure, mini date night, and then we really talked to the sensory spirit. This one had really cupcake flavor frosting, but the shortbread cookie didn't love. This is the smallest one.",en,629
POST00002814,I couldn't win the school to be a doctor doctor But I dropped out and showed to be a pilot,en,90
POST00000599,I'm happy I'm in love Is that for you? That's all I want to do So we're in love Is it me? I'm in love I'm happy I'm in love,en,123
POST00001009,bunun,en,5
POST00003981,Keep watching if you want to see a haul from Whole Foods for a family of four who eats about a 95% clean and whole food diet. Whole Foods is about an hour from our house so we don't make it there often so we really stocked up on some of our favorite things starting with some fresh organic produce. We got these eggs from vital farms but I honestly don't recommend they don't have a good reputation. More fresh fruits and veggies. We got this really cool omesh butter and some glue.,en,482
POST00001528,"Healthy habits that changed my life as a holistic nutritionist. Part one. Drinking a full mason jar of water first thing in the morning every single day. If you're like me and you are so bad about drinking water throughout the day, making sure you get in a full liter first thing in the morning before coffee, before breakfast is an absolute game changer. I notice any day that I don't start my day like this. One, I never drink as much water, obviously. Two, I always end up with a headache at the end of the day. Three, my skin immediately breaks out. I have really, really dry sensitive skin and when I am not hydrated, my skin.",en,631
POST00003493,"If you want to be a country mama and start on your holistic health journey but have no idea where to even begin I have one simple tip for you and that is to completely eliminate seed oils from your diet When you eliminate seed oils you're also eliminating Extremely heavily processed foods if you go into your local grocery store You will notice that around 95 to 90% of foods contain seed oils, but these foods aren't even really foods, they're heavily processed, they're no good for you Nobody should have these foods, especially",en,531
POST00002882,"We've got a problem today sadly two common it's called estrogen dominance and progesterone deficiency and it was Dr John Lee that first blew the whistle on this. There have been some other doctors and authors that have also written about this and he shows that now we have estrogen dominance. What effect is it having with its cell proliferator action? Fibroids in the uterus, cysts on the ovaries, cystic ovarian syndrome.",en,423
POST00003647,"If you scratch an itch, you immediately make it worse. Because when you scratch, not only do your damage to skin a little bit, but that scratchy brings more blood to the area, and when you've got more blood to the area, you've got more heat, and more heat on the itch makes the itch worse. So what can you do? You're ised. So what I did?",en,337
POST00003667,What are we told when someone has a hard problem? Stop the fats. Why are they told to stop the fats? Because of cholesterol. Isn't that right? So now I want to give you the truth on cholesterol. So your liver makes cholesterol. And your liver makes cholesterol according to the body's demands. An 80% of the cholesterol that your liver makes is made from glucose.,en,363
POST00000799,"This is how I shop at the grocery store as a holistic nutritionist. I always make sure to read the ingredients before I buy any food product. Here we have almond breeze and as you can see it is full of shitty gut disruptors. Now my favorite brand of almond milk, malt, has four whole real ingredients.",en,301
POST00003239,"The earlier you go to bed, the more likely you are to fall into are deep sleep. The other hormone that's released is epithelamin. An epithelamin is a hormone that increases learning capacity. God designed our brain to be learning new things right up until the day we die. Many people's brains deteriorate because they stop learning new things. We should ever learn new things.",en,376
POST00003963,"Here's what I would do if I was starting my holistic healing journey over from scratch, and I wanted to see a massive glow up like fast. Before anything else, I would make sure I was so far away from a victim mindset. I would make sure that my beliefs aligned with where I wanted to go, that I believed I was healthy, that I believed in my body's ability to heal, that I believed in the power of food and lifestyle choices over needing medicine. I would make sure I trusted my intuition, started listening to my body, and...",en,524
POST00003542,"If you get nauseous every time you eat, if you get tired every time you eat, if you're always bloated, if you just don't have a good sense of like, in your gut area, you gotta give a fermentation a try. My name is Leslie and I'm a master herbalist and I always start my clients off with my fermented fire cider. It's not only gonna help your gut, it's gonna help your immune system. It's gonna help your energetic centers that are in your stomach, which is also your connection to the earth.",en,491
POST00000287,"Indigestion is a real good clue that you don't have enough acid in your stomach or bloating. So if you have bloating and you have indigestion or acid reflux, then it's more likely that it's coming from the stomach. The thing about the stomach is it's one of the first places to help you start to digest. And if you don't have enough acid like a lot of people, from that point on, the food stuff will kind of go through this whole chain of events. And if it's undigested here, it's going to be undigested here. And these organs are going to have to work harder. So it's very important.",en,584
POST00001278,"When it comes to digestive fluids, lemons are one of the most favorable foods that we can eat. The practice of drinking lemon water or squeezing fresh lemon juice onto your food every day can greatly increase your body's capacity to absorb nutrients and amino acids.",en,266
POST00000540,"Yeah Hey girl, I can lick it I can ride it while you slip it I'm sliding, I can't do I'm little tricks and keep the ticker I'm sliding, you can't say",en,149
POST00000308,But I need to live so long Can you kiss me?,en,43
POST00001915,"Take it this far For what do I know? Fashion Fly, fly For what do I know?",en,73
POST00002361,"Imagine rocking up to a party and seeing this. Is that Snoop Dog? Seriously? We were absolutely banned, Beersle. This guy was taking photos at an art gallery in London and he seriously looked like the real deal. I mean, everyone was doing double takes, everyone was getting selfies, he was so good that one of our reporters even got a photo with him. Like, he looks like Snoop, right? But he's not. You see, the guy at the party was actually a man named Eric Finch. He's a professional look-alike and double for Snoop Dogg. He's done plenty of look-alike work in commercials and ads posing as Snoop and he's even met the rapper a few times. In fact, Finch.",en,656
POST00003258,"Can you feel this? Blame it on my mama, my dad, Nico Before the sun rocks, crooked in the job, Dillis tell me in the song Nigga then we first have gone bust on these bitch-mates Nigga said I'm a West Side Ain't nobody love me as a brook, Nico Sing on the trigger, love for Gini if I smoke Nick",en,293
POST00000277,"Who are you? Big Snoop Dogh from the DPJC away. Who are you? My name is Big Snoop Dogh and I'm the king of the West Coast if you don't know you do now. Byw out. Who are you? Snoop Dogh, the greatest rapper of all time. Nesad LBC, LBC Saviour. I'm the best thing rap got going. Who are you? Snoop D.O. Double J. Who are you? I am Snoop Lyon, top select number one. J.R.S.D.F.R.A.",en,378
POST00003420,"When the pimps in the grip, my drop it like a pie Drop it like a pie Drop it like a pie When the PX try to get it shit, pocket like a pie Park it like a pie, pocket like a pie Get out of tune, pop it like a pie Pop it like a pie, pop it like a pie I've got the role of you, I'm on, and I'm pouring shard on and I'm a little bit sick Cause I gotta go with no one",en,361
POST00001810,Let's get you,en,13
POST00003825,,en,0
POST00000131,"Ever wondered how to do the venom voice? I can cheat you. It's the easiest thing, truly. All you gotta do is three easy steps. Step one gets to Venom's voice level. One, Venom sounds like he smokes 18 cartons a day, so you gotta do your best job to get that low. Best way I find out to do that is by clearing your throat and sounding like this. BAM! But if you open up your mouth, it sounds like this. BAM! You're already at the level. Step two, learn how to do a British accent. Venom has a little accent to when he speaks because he's voiced by Tom Hardy. Edzie, you're looking real tight, Steve, broof. Just say random dumb shit with a British accent.",en,654
POST00002711,"They're riding my brain, love, these herbs are sad I admit it, another whole gang me finished broke my heart, I don't know who you did it, fuck sipping I'ma down a whole bottle, heart liquor, heart truth case well I need a bartender, put me out my sorrow wake up and next day in the money call over the woman",en,308
POST00003165,You are miserable! Who are you? You are a terrible girl! Who are you? Who are you? Who are you? Who are you?,en,108
POST00002926,"My name is Jared Anthony Higgins, better known as Juice World, and this is the story of me. I was born on December 2, 1998 in Chicago. From a young age, I found love in music, pouring my heart and emotions into my lyrics. I started gaining attention on SoundCloud and soon my career took off. My music resonated with millions around the world, and I felt the love and support of my fans. But behind the scenes, I struggled with my mental health and addiction. On December 8, 2019, tragedy struck. I suffered a seizure from a drug overdose and passed...",en,552
POST00000954,"아, 아, 아, 아. 누구냐, 박아부터. 니 니 통수 티냐. 이 분이 쇽년이. 지금한테 덮여줄까 니 뒷통수? 사주만, 사주만. 미쳐봐. 떨리지 마 병민 씨 나. 그러다 걸리면 죽어.",ko,101
POST00002088,All I wanted was you All I wanted was you,en,41
POST00003556,Don't you notice how I get quiet when there's no one else around? Me and you and awkward silence don't you dare look at me that way I don't need the mind or self how you don't feel the same Oh the bird,en,201
POST00002132,"Rock, rock, roll, fight That's foreign, I see Uh-oh, like a tall bitch, I'm looking like a lick Oh, oh, think of dinner, swap, I'm in my fist Oh, oh, entertainment, what's your bitch at night? Night, night, night, drink a jar, show me, teen, your bitch Oh, oh, oh, my contract is one club, I hit a hog Crying in the club with my ass, shit on hand If you think it's bad, hot, got splines, don't you get mad? I'm not letting you just flick, pick, oh, huh Two-bought-two clubs, no I have a level up I have a level up, eight of more, yo, my children Oh, oh, no, no, no, nigga, bitch, check it's like a nugget They be just actors, they're just watching, tin, ball From a 27-star, when it's not spying",en,695
POST00002261,And feelings shone in me in and no you you you,en,46
POST00002621,"Sabías que Nook Town existe en la vida real y es más, puedes ir allí y pegar tu unos tiros. Deja, te explico, este lugar existe y está situado en Illinois, Estados Unidos, este lugar es propiedad de Paymbol Explosión y reservando con antelección puedes ir allí y jugar a Airsoft o a Paymbol, aunque principalmente suele ser más un campo de Paymbol. Este campo es exactamente igual del videojuego, o sea que estamos hablando de un campo que es exactamente escala 1.1, a excepción de que a la cabar la partida no te cae una nuké en la cabeza, eso sea...",es,551
POST00000298,Thanks for watching. See you soon!,en,34
POST00003364,atie,en,4
POST00000025,These are,en,9
POST00001782,"The new season just came out and it is the number one show on Netflix. I mean, it's an absolutely, immediately after the week. On Thursday, congrats on that. In fact, a lot of fans have already finished the whole third season. If that's even possible. How? Wait, someone's wavering out. You finished it up? How went? Are you OK? No, I mean, where'd you find the... Friday night and finish at Saturday night. See, marathon? That's a lot. Thank you.",en,447
POST00001930,"When the sun goes, I feel like I have to something, but they all have to something.",en,83
POST00000519,Bit I'm stylish Gla commerce big teaspoon biley I watch on Mango Whisper Night What that cautious mind,en,102
POST00000822,"Bill, if you'll come with me, you'll float too. You'll float too, you'll float too! You'll float too, you'll float too! You'll float too!",en,137
POST00000787,Hey Joker! You gotta find Mama Cita Holmes! Mwah!,en,49
POST00000767,"Transforming to stitch with me. I'm actually really nervous about this one. I always wanted to do a stitch Halloween look. Stitch has really big eyes, so I'm taking a blue eye shadow to try an outline where I want them to be. Starting to feel like I should have practiced this one. Blue face paint to go around the eyes. I just honestly won't know until I'm done. If this looks right, his actual eye color is a lighter blue, so I literally dumped blue into this white paint. I'm trying to outline where I want the black paint to go. I'm gonna clean up the base paints and everything.",en,583
POST00000863,"I saved the best for last, the witch, a sorceress from another dimension, another world. I like when you get mad. I guess I'm pretty glad that you're alone. You said she's scared of me? I mean, I don't see what she sees, but maybe it's because I'm wearing your cologne. Come back, God.",en,285
POST00003923,I want to see your cheeks glow red red red,en,42
POST00000709,"So let's say you were to come over to my parents' house in Captain or would be like family. Tell me what you do with that person, passion really stands! Let's see, well I'd have to think about it. I might show up in a toss, ha, when I don't.",en,241
POST00002737,"encontré un filtro con el que te puedes probar todas estas tonas de cabello así que tenía que intentar, lo voy a ver que color me queda más para aproximadamente pintármelo vamos a probar con el negro se ve divino me encanta se ve muy bonito pero por el momento no siento que me pintaría el cabello de color negro pero me encanta, se ve el padrísimo, cafés y tosiendo que no se va a notar mucho la diferencia de uno a otro naranja",es,429
POST00000386,"My two skin goals for 2022 are diminishing dark spots and reducing texture. Luckily for me, they're the IT cosmetics buy-by serum line to help promote clear and balance skin. I like to use the Buy-by-Pore Serum at night to minimize the look of pores by gently exfoliating with 10% glycolic acid, but not irritating the skin as it includes hyaluronic acid. I use the Buy-by-Dark Spot Serum in the daytime to help reduce dark spots and de-stalleration with 4% niacinamide and 1% ethyl vitamin C. This helps improve skin clarity and even tone. I'm already seeing a difference with the combination of these two serums for a clearer 2022. These are a bit of a lot.",en,659
POST00002563,"Turned Tand fitting ready. Turn it up because it's getting heavy. Wow, wow, let's coast. These are the girls I love the most. I mean the ones I mean like she's the one. Kiss her, touch her, squeeze her.",en,202
POST00000253,or,en,2
POST00000660,جماعة تعالوا عرفكوا على أحلى إنجريديا تبجدوا يستهل التجربة وهو السيرا بتاع الفأربيوت منزة والدناري مدتل الفأربيوت اندي بتوحادون البشراء قربت فتح هاجدتهم ويبجدتنا وارها و لو عنديك أي بؤعام أولا وعندك أي أصور حبوب للمأرى و عنديك أي تصبوه وعيزة وحدلون بشرتك فبجدت دائما واصر هاجة ممكن تسبق دمية بجدت طحفا و落 tiny استراق نحنrä عن طهفا و ليأخذ ن dieser تلاعي,ar,353
POST00003937,"Left pocket for the pink feces, right pocket got blues in it Ghosts in the packs tell me, I know what to do it Thousand out of shoe, I'm walking on a down out He ain't running up or bad, he running it down my I'm Mr. Swinger dope, Mr. Beat the road Two thousand on a coat, stepping on a dope I'm Mr. Ralforn, I'm Mr. Angon He's Mr. Pomp Faker, I'm Mr. Posh Grave The way I'm driving, I'm Jamaican Raccoon Why would I chase a beat, I'm gonna chase a cheque",en,455
POST00003336,Galaxy Magic Apple die,en,22
POST00003374,"Hey, Miss Walker, thank you for wanting to verse for me. Pologies for the weight, sometimes it's harder. Get the distractions above your foot and a ton of jot your thoughts. But fuck it this morning, I got stuck. I'm thinking about you. I heard you just had your another little baby. Congratulations. I hope you got through with no complications. I find it amazing. The weight that you juggle your kids, the bitch, the fame, the bitches as Hayton. They sit around waiting for you to fall off like that out of my making. But I hope that you're taking a little time for yourself.",en,577
POST00002502,"Perfect to stretch, close up.",en,29
POST00003459,"I ain't worried about shit, why you stressing about a hoe? I be fresh and hear the talk, walk inside my closet, everything, run the collar cold New niggas come around dust and we talkin' cold Bands don't ready to tag a nigga like a IG post sitting on that block Like a lines up to the morning, go heat by my side, but my nests nail A2O Niggas cab up like the shit they do, they on noise control We can spare like a DJ set, we got up the skull, whizzin' just brought a foe I just made some rest today that's cool, but I need some more Niggas tryna find us, we're cool enough",en,573
POST00002653,I'm trying it Kind of hard for the show you I'm trying it I mean like easy baby is gonna take a minute talking something so different but everything I swam in what I tell you,en,174
POST00002136,"I'm telling you before we die I wish I let them know Standing over your body I got my tears to go I didn't let you know I got your keys for us Taking all the drug which I can leave for him Can I be with you, bro? We broke first, go on handed I can't walk by faith Everyday I wake up to some brand new hood It's I'm sick, I'm so near by the time All these thoughts that I woke up Most contain I got problems with them Cause I won't be fake It's I'm sick, I'm so near",en,465
POST00002833,Oh Usually do this Can I sing to you? Yeah For my eyes I could do this for hours Sit and talk to you for hours I wanna give you,en,127
POST00001727,"I changed my mind I don't love you No, no, no, no, no It's my time It's my time",en,79
POST00000297,"[""Sог",en,5
POST00002495,"I'm a treacherous little twin and you know that we lock in and I love you like my kin It's whatever for you I go up and down there road I go anywhere you go when you tell me life is good I'm all better for you You my twin You my twin, my treacherous little twin You my twin You my treacherous little twin You my twin You my treacherous little twin Yeah, for what they say For what they say",en,389
POST00002141,"Baby I could pop out right now, pull my big run These hoes down, I'm not acrobatic, I'm not flippin' on my bro Nope, I'm not shit be factual, I like it and I get it's throwin' off Girl I'm talkin' slick, I catch you bitch before I catch you call They ain't tryna kick it with you, nigga like I broke toast Don't tell you the fence if I'm too rich to float with bro I won't drive my TRS, no more that shit just to",en,412
POST00002890,"I used to read Word up magazine, something pepper and heavy-dia Been the limousine, hanging pictures on my wall Every Saturday, rap attack, Mr. Magic, Molly Mall I let my take rock through my take pop Smoking weed and beer, boom, sipping on private stops Way back when I had the ready black lumberjack",en,301
POST00000407,🎵,en,1
POST00001157,"I just wanna have a good night I just wanna have a good night I don't know now no If you broke then you gotta let him go You could have anybody Anybody know? Cause when you a bus you could do it I have a good night Hold up, hold up, hold up, hold up Hold up, hold up, hold up, hold up, hold up",en,293
POST00001399,Time y'all!,en,11
POST00002180,Q10 calls for the voting fight Thanks for your support Cut.,en,59
POST00001188,I always heard the voice in the back of my head.,en,48
POST00003779,"Yeah, pretty good. I just fell. I'm gonna start this off. I will finish the four of you. You finish the six of us. I just want to follow you. I'll do it. Stop! You're doing great, sweetie. I'm going to do it. I'm going to do it. I'm going to do it. sweetie.",en,257
POST00002533,"Hi, I'm Liza. I'm a licensed cosmologist and I have been a freelance makeup artist since I was 14 and I'm going to show you my tricks and tips to have a perfect snatched nose contour. I love a good intense nose contour but I do not want to see brown stripes on the side of my nose so I'm going to teach you how to get an intense blended nose contour. This first step for any base you're going to want a primer. I use the glow-ish",en,429
POST00000745,,en,0
POST00002489,,en,0
POST00001576,"El is for the way you look at me. Oh, is for the only one I see. Thee is very, very extraordinary. It is even more than anyone that you adore.",en,142
POST00003417,"Okay guys crab hut and flood my list look at this stuff Say hi Oh my god, all the people oh my god My friend and it's only $50 right now It's only $50 right now Would you probably the best deal you're gonna find especially locally and I've been traveling this entire summer And I've gone to like a ton of restaurants across the country I'm telling you you're not gonna find a better deal than this right now especially locally in our area. This is amazing Louise the NS style crab oil look at this",en,497
POST00000755,"Alright, we're in Florida. And in case you've been living under a rock, we just had an hurricane. We have a soil testing company. Now, this is one of our old customers' houses. We did the soil tests and all the permit for them, but I wanna show you exactly how much water we have in Florida. Mind you, we are in Highlands County, which is actually peritiously far away from the coast, but we still did get hit. So, just to give you a little context, this is an auger, manual auger.",en,481
POST00000078,"I said by myself, so I can choose you You wanna go, I can take you to heaven",en,76
POST00002278,"You're my sunrise, you keep coming up You're never conversation, never smoky situation If it's water, if it's whiskey in my cup You're the memories I'm tracking, you're the alpha, I'm always playing with you",en,207
POST00002708,"I'm good yeah, I'm feeling alright Baby I'm the heaviest bit Freakin' night in my life Wherever it takes me I'm done for the ride Baby don't should know I'm good Yeah, I'm feeling alright Cause I'm good yeah, I'm feeling alright Baby I'm the heaviest bit Freakin' night in my life And wherever it takes me I'm done for the ride Baby, time's here",en,345
POST00002908,,en,0
POST00000394,8 BITCH WHAT UP I'M DINTA DINTA DINTA DINTA DINTA DINTA DINTA DINTA DINTA,en,73
POST00001436,we,en,2
POST00003989,Why can't you just lie and love in the past? LOL,en,48
POST00001511,"I'm going high, higher, higher, higher Why should you lie to me? Boy",en,68
POST00002021,"Here are my top three tips to selling products as a licensed esthetician. My first tip would be don't ever assume that your clients have a budget. At the end of all my treatments, I usually pull all the products that we discussed, whether that's one, two, five, six products, and I'll total everything up, and they will most likely buy everything. My second tip is do all the research that you can on the product lines that you're carrying. You wanna make sure that you're carrying lines that you 100% believe in and know that they will give your clients the results that they're looking for. This will take all the stress away from trying to get sales because it will come.",en,674
POST00002241,"I'll rule just the same way you show me Show me You showed me love Glory from above, revived here It's all down here from here In the wake of a dark day",en,152
POST00000275,"Oh you gotta leave it up So everybody put your hands in the air To all night, body that we're getting into You think it's all over, but then I drop this on you",en,159
POST00003726,I've been getting so many DMs regarding how to become an assistant so in this video I'm going to tell you girls how I personally became an assistant. I want to find an assistant school near you. I personally went to one of the cheapest ones and Phoenix. If you girls are interested in what assistant school I went to to send me a DM and I can let you girls know. Trust me when I say every assistant school is the same. You're going to learn the same thing regardless of how much you're paying. You're going to learn the same thing. I personally went to a school that costs 10k and with Batsba I want to say I only paid 6k. You do have the option if you want to do it in payments or up.,en,685
POST00003877,"I rarely wear makeup anymore, and almost everywhere I go, people are like, your makeup looks so good. And I'm like, I'm not wearing any. Let me tell you my secret for that. I'm Melissa, I'm a licensed ascetician, I've been in the aesthetics industry for five years, and this is the one trick that has changed my skin and so many of my clients, and it's like the dumbest thing ever. People underestimate how important toner is in a routine. This is something I learned years ago. Your skin needs something in between your cleanse and your...",en,540
POST00001271,We know every night we fall in love I don't wanna know the way to do it Oh Oh Oh Oh As you are Oh We know it's not the same as you are Oh As you are As you are,en,159
POST00001100,"I wanna love you Drive rushing to remove, that's it",en,51
POST00002754,"There are three things to ask yourself when it comes to exfoliating. What to use, when to use it, and how? And I have learned all this from Esthetician School Yacht, the fiercest tea. Yani, this. This right here is my favorite exfoliating. This is the Daily Microfolium by German Laudchika. We use this at an Esthetician School. And when you use this as after pre-clans, you'll pre-clans first, then you'll cleanse, then you'll go into this. Take some and put it in a bowl. About that much. A little bit of water. And you want to get it to about this consistency look.",en,568
POST00001131,segu more,ko,9
POST00003995,"Baby girl, if you have whiteheads or blackheads, please do not try to pick it with whatever tools or pinch it out with your fingers. It's gonna hurt your skin and damage it, okay? Please start exfoliating, it's really not that hard. I am pretty sure when Miss Haley Bieber started the strawberry makeup trend, she didn't meant this. So start taking notes bestie. Here are my top two exfoliating products, both chemical and physical. That significantly reduced my blackheads and my whiteheads. Starting off with this viral chemical exfoliant from...",en,548
POST00000300,"What is exfoliation? Exfoliation is the process of removing dead skin cells from the surface of our skin. Everyone should be ideally exfoliating once to twice a week, but with our new daily milk and fully end, you're able to exfoliate every single day. Meaning your skin feels fresh, hydrated and glowy every single morning.",en,324
POST00001719,,en,0
POST00003611,If you use halalronic acid you'll hydrate your skin. If you use nice andibial control your oil. If you use halalronic acid and Iast terminals you'll hydrate your skin and control your oil. If you use vitamin C you'll brighten your skin. If you use halalronic acid nice andibedial You'll hydrate your skin control your oil and brighten your skin. If you use halalronic acid nice andib alte andmemical Fry. you will strengthen your skin barrier. Do you use how-,en,459
POST00002336,"I haven't showered for a month and this is what came off my body. Just kidding, I shower every day but I haven't exfoliated for a month, which is why there's so much dead skin that has accumulated on my body. A lot of people think that these are rolls of dirt, so those scrub themselves every shower, but please do not do that. It's actually just dead skin and does not mean that you're dirty. You only need to exfoliate once a week for visibly softer, smoother, and less bumpy skin.",en,483
POST00001737,"Like, think you should tell you too",en,35
POST00003769,"キラキラキラキラ 久しぶりでMake up and dress that you ready to goWethering is great, it's your holy dayWe get to party all day longHappy days are merdy, so shineGoI like it, happy days are merdySo shine, it's free",ja,200
POST00002194,!,ja,1
POST00000222,"Verdad es que ole en parte 3 se han tenido un globo a unos utilizar filtros de Instagram que te apan la cara, comprenderlo. Muchos de crecen por verse en indocenio Instagram y en personas son severos gorres, los mismos presumiran plominales que presumir de nutrición. No, amigo, tu cuerpo no es hysterico, ese cuerpo lo que está espiéndolo lleva. Pensar que alguien con oífones de plata es un claro ejemplo de que este país es muy pobre. A nadie le importa saber de qué signos son. Colocarlo en la descripción de su Instagram es solo un espantagente. Es como colocar las iniciales de la universidad en la que estudian. No se ve ocano, se depende.",es,646
POST00002335,I,en,1
POST00002514,"Rated, not for everyone.",en,24
POST00001743,ś,ja,1
POST00003183,At least just Bu skew that 20 volts of profit,en,45
POST00001792,,en,0
POST00000307,,en,0
POST00000031,This is a work of art. This is a work of art.,en,45
POST00001074,,en,0
POST00000245,Come on man. Ain't nobody.,en,26
POST00000429,"맞고,排 붙 lighting",ko,15
POST00000757,EveryoneWash,en,12
POST00000254,"Estas son algunas de las prendas más ridículas que Valenciana te quiere vender. Y empezamos con estos Tennis Parices Niqueers que se han vuelto super virales, porque se ven rotos, sucios y parecen inservibles. Aunque las realidad es que los Tennis que están a la venta no son esos tan estropeados. Son estos que ves ahora mismo en pantalla, pero igual es increíble que cuesta en 40.000 pesos. Seguimos con estas botas tipo militar que lanzaron hace poco y tienen una peculiar característica, que los enviejas y pintadas como si fueran de un trabajador. Lo peor es que cuesta...",es,577
POST00001921,"No he vuelto a afuera, no he puesto muy tragado Y se buscándome en la oscisa de este Yo he ruido un repito, no le atu no me va a volver Que por un brito compete",es,160
POST00003290,And they had to I'm up on them bandlets Culling my phone but they know I don't answer And the hood I'm like Princess Diana I'm thick cuz I beat and oats Bitch not thick as shit for me but notes Wanna be me so she do my emotive I need my mouth so I bet she gon choke So her man I'm the girl at his dreams Think about me when he brushing his teeth,en,345
POST00002967,"I don't want to be pretty, I want to be iconic.",en,47
POST00000896,I'll be your sponsors,en,21
POST00000720,,ko,0
POST00000624,The End,en,7
POST00000418,,nn,0
POST00000655,actress,en,7
POST00000747,,en,0
POST00000858,"When you want and don't see me It's not rich, not a girl I don't know what the hell you want from me Oh",en,103
POST00000179,"I make all my maps. No, I make them all night. For a while I was just stealing them off Google Images But I don't know did during the pandemic I don't know did a Program called Dungeon Draft was like 15 point. This isn't an advert. I just really love the program You pay pay for it once. It's got a bunch of free assets on it already A bunch more than people make on the internet that you can pay them for or a lot of them are free It takes minute",en,447
POST00000152,So tell me what's become of my ship.,en,36
POST00000189,"Quick NPC in under 15 seconds. Incredibly powerful wizard, top of their class from many years, gets severe burnite, gives it all up, becomes a druid, runs in apothecary, goes into holistic healing, and gets high all the time. Gifted kid becomes stoner.",en,252
POST00000619,Music,en,5
POST00001357,"You could bet that never got us what we bet Change, I'll be the rubber bands, you'll be the match I'll be the fuse, boom, hey, you're baby, you could be the fuse I'm the reporter baby, you could be the new Cause you're cigarette, and I'm a slow girl We raise a bet, cause you're the joke girl, check it out If you wanna choke, it's like a beat blackboard, you can beat it down If I can beat it up, yeah, you wanna get close falling Even when the sun goes down, yeah, yeah I got baby, so we'll act, put your pretty little hand in",en,528
POST00003853,Music,en,5
POST00001857,Don't get lost cause I'm waiting Summer feeling so waiting boy You and me is more than a hundred miles You and me is more than the grey sky,en,139
POST00001339,"Therefore, we will treasure the Wheel of Eden at the Crystalyties Sing my Chess From hell Atleast come you Now dance",en,116
POST00001141,When it takes season and you open the box to sleep.,en,51
POST00001295,"I just want to show you you all You should be You sent me the new kiss Then I'll be right there When the clock comes, check your mouth Door-tie and one My dog is on probation Another five years When girls are asleep",en,215
POST00001249,I guess you wonder where I've been. I searched for final evidence.,en,66
